cho_thanh_toan: PASS (notice=false, cancel=true, return=false, steps=6, finished=1)
cho_xac_nhan: PASS (notice=false, cancel=true, return=false, steps=6, finished=1)
da_xac_nhan: PASS (notice=false, cancel=true, return=false, steps=6, finished=2)
dang_chuan_bi_hang: PASS (notice=false, cancel=false, return=false, steps=6, finished=3)
dang_giao: PASS (notice=true, cancel=false, return=false, steps=6, finished=4)
giao_that_bai: PASS (notice=true, cancel=false, return=false, steps=6, finished=4)
da_giao: PASS (notice=false, cancel=false, return=true, steps=6, finished=6)
hoan_thanh: PASS (notice=false, cancel=false, return=true, steps=6, finished=6)
da_huy: PASS (notice=false, cancel=false, return=false, steps=3, finished=2)
return-REQUESTED: PASS (notice=false, cancel=false, return=false, steps=5, finished=1)
return-PENDING_APPROVAL: PASS (notice=false, cancel=false, return=false, steps=5, finished=1)
return-REJECTED: PASS (notice=false, cancel=false, return=true, steps=5, finished=2)
return-WAITING_FOR_PICKUP: PASS (notice=false, cancel=false, return=false, steps=5, finished=2)
return-PICKED_UP: PASS (notice=false, cancel=false, return=false, steps=5, finished=3)
return-RETURNED: PASS (notice=false, cancel=false, return=false, steps=5, finished=4)
return-REFUNDED: PASS (notice=false, cancel=false, return=false, steps=5, finished=5)
return-EXCHANGED: PASS (notice=false, cancel=false, return=false, steps=5, finished=5)
